question,topic,intent,difficulty,answer
How do you implement autoencoder?,Deep Learning,autoencoder,Advanced,"Neural network that learns compressed representation. Encoder compresses input to latent space, decoder reconstructs. Used for dimensionality reduction, denoising."
module definition,Python Basics,module,Beginner,A Python file containing definitions and statements. Import using 'import module_name'. Helps organize large programs.
Help me understand XGBoost,Machine Learning,XGBoost,Advanced,Extreme Gradient Boosting is an optimized gradient boosting library. Regularization prevents overfitting. Handles missing values. Parallel processing. Wins many ML competitions.
memory management definition,Operating Systems,memory management,Intermediate,"Allocating and tracking memory. Techniques: paging, segmentation, virtual memory. Prevents interference between processes."
What do you mean by fairness in ML?,Machine Learning,fairness in ML,Advanced,"Ensuring models don't discriminate based on protected attributes. Metrics: demographic parity, equalized odds. Techniques: re-weighting, adversarial debiasing."
Tell me about fairness in ML,Machine Learning,fairness in ML,Advanced,"Ensuring models don't discriminate based on protected attributes. Metrics: demographic parity, equalized odds. Techniques: re-weighting, adversarial debiasing."
What's the purpose of classmethod?,Python Programming,classmethod,Intermediate,A method that receives the class as implicit first argument. Defined with @classmethod. Can be called on class or instances.
What does deadlock mean?,Operating Systems,deadlock,Intermediate,"Processes waiting indefinitely for resources. Four conditions: mutual exclusion, hold and wait, no preemption, circular wait. Prevention or detection needed."
I want to learn about Agile,Software Engineering,Agile,Intermediate,"Iterative development methodology. Short sprints, frequent releases, customer collaboration. Principles in Agile Manifesto. Examples: Scrum, Kanban, XP."
Can you explain what array is?,Data Structures,array,Beginner,"A contiguous block of memory storing elements of the same type. Fixed size. O(1) access by index, O(n) search. Foundation for other data structures."
I want to learn about LSTM,Deep Learning,LSTM,Intermediate,"Long Short-Term Memory is RNN variant with gates (forget, input, output) that control information flow. Solves vanishing gradient problem. Used in NLP, time series."
Could you tell me about string formatting?,Python Basics,string formatting,Beginner,"Format strings using f-strings: f'Hello {name}', format(): 'Hello {}'.format(name), or % operator: 'Hello %s' % name."
What does validation data mean?,Machine Learning,validation data,Beginner,Dataset used during training to tune hyperparameters and prevent overfitting. Separate from training and test sets.
I want to learn about supervised learning,Machine Learning,supervised learning,Beginner,Learning from labeled data (input-output pairs). Algorithm learns mapping from inputs to outputs. Tasks: classification (discrete) and regression (continuous).
Could you tell me about ResNet?,Computer Vision,ResNet,Intermediate,"Residual Network uses skip connections. Enables training very deep networks. Won ImageNet 2015. Variants: ResNet-50, ResNet-101."
Explain VPN,Cybersecurity,VPN,Intermediate,"Virtual Private Network encrypts internet connection. Creates secure tunnel. Hides IP address. Useful for remote access, privacy."
variable definition,Python Basics,variable,Beginner,"A variable in Python is a named storage location that holds a value. Python is dynamically typed, so you don't need to declare the variable type. Example: x = 5 creates an integer variable named x."
I want to learn about HTTP,Web Development,HTTP,Intermediate,"HyperText Transfer Protocol for web communication. Methods: GET (retrieve), POST (create), PUT (update), DELETE (remove). Stateless protocol."
Explain I/O management,Operating Systems,I/O management,Intermediate,"Handling input/output devices. Buffering, caching, spooling. Device drivers provide interface. Asynchronous I/O improves performance."
Explain hyperparameter tuning to me,Machine Learning,hyperparameter tuning,Advanced,"Optimizing hyperparameters (not learned from data). Methods: grid search (exhaustive), random search, Bayesian optimization, genetic algorithms. Use cross-validation."
How do you implement Q-learning?,Reinforcement Learning,Q-learning,Intermediate,"Off-policy algorithm learning action-value function. Updates Q(s,a) using Bellman equation. Model-free. Works in discrete spaces."
Explain branch,Git & Version Control,branch,Intermediate,Independent line of development. Enables parallel work. Default branch usually 'main' or 'master'. Lightweight in Git.
Can you explain graph?,Data Structures,graph,Intermediate,"Collection of vertices (nodes) connected by edges. Can be directed or undirected, weighted or unweighted."
Help me understand Floyd-Warshall,Algorithms,Floyd-Warshall,Intermediate,Finds shortest paths between all pairs of vertices. Dynamic programming approach. O(V³) time. Works with negative edges.
How does React work?,Web Development,React,Intermediate,JavaScript library for building user interfaces. Component-based architecture. Virtual DOM for efficient updates. Created by Facebook. Very popular.
How would you explain feature selection?,Machine Learning,feature selection,Intermediate,"Choosing relevant features and removing irrelevant ones. Methods: filter (statistical tests), wrapper (model performance), embedded (L1 regularization)."
Define continuous integration,Software Engineering,continuous integration,Intermediate,"Automatically building and testing code on every commit. Detects integration issues early. Tools: Jenkins, GitHub Actions, CircleCI."
How does REST API work?,Web Development,REST API,Intermediate,Representational State Transfer API uses HTTP methods. Stateless communication. Resources identified by URLs. Returns JSON/XML. Standard for web services.
Help me understand endpoint,API Design,endpoint,Intermediate,URL where API can be accessed. Represents resource or action. Example: /users/123 for user with ID 123.
I need to understand CDN,Cloud Computing,CDN,Intermediate,"Content Delivery Network distributes content globally. Caches content at edge locations. Reduces latency. Examples: CloudFront, Cloudflare."
Please tell me about configuration management,DevOps,configuration management,Intermediate,"Automating server configuration. Ensures consistency. Tools: Ansible, Puppet, Chef. Uses playbooks or recipes."
Explain Kubernetes,Cloud Computing,Kubernetes,Intermediate,"Container orchestration platform. Automates deployment, scaling, management. Handles load balancing, self-healing. Industry standard. Created by Google."
I want to learn about GPT,Deep Learning,GPT,Advanced,Generative Pre-trained Transformer. Autoregressive language model. Trained to predict next token. Powerful for text generation. GPT-3 has 175B parameters.
Help me understand merge sort,Algorithms,merge sort,Intermediate,"Divide-and-conquer sorting. Divides array in half, recursively sorts, then merges. O(n log n) time. Stable sort."
I want to learn about red-black tree,Data Structures,red-black tree,Intermediate,Self-balancing BST with colored nodes. Less strictly balanced than AVL but faster insertions/deletions.
How does XSS work?,Cybersecurity,XSS,Intermediate,"Cross-Site Scripting injects malicious scripts in web pages. Steals cookies, session tokens. Prevention: input validation, output encoding."
linked list definition,Data Structures,linked list,Beginner,"A linear data structure where elements are nodes connected by pointers. Each node contains data and reference to next node. Dynamic size, efficient insertion/deletion."
Help me understand tokenization,Natural Language Processing,tokenization,Intermediate,"Breaking text into tokens (words, subwords, characters). First step in NLP pipeline. Methods: whitespace split, BERT tokenizer, BPE."
dropout definition,Deep Learning,dropout,Intermediate,Regularization that randomly zeros neuron outputs during training. Prevents overfitting by reducing co-adaptation. Typically p=0.5. Disabled during inference.
Explain bayes theorem,Mathematics for AI,bayes theorem,Beginner,P(A|B) = P(B|A)P(A) / P(B). Updates probabilities with new evidence. Foundation of Bayesian inference and naive Bayes.
Explain SQL injection,Cybersecurity,SQL injection,Intermediate,"Attack inserting malicious SQL in input. Can read/modify database. Prevention: parameterized queries, input validation."
Why is bayes theorem important?,Mathematics for AI,bayes theorem,Beginner,P(A|B) = P(B|A)P(A) / P(B). Updates probabilities with new evidence. Foundation of Bayesian inference and naive Bayes.
Explain how splay tree works,Data Structures,splay tree,Advanced,Self-adjusting BST that moves accessed elements closer to root. Recently accessed elements are fast to access again.
What do you mean by reinforcement learning?,Reinforcement Learning,reinforcement learning,Intermediate,"Learning by trial and error through environment interaction. Agent takes actions, receives rewards. Goal: maximize cumulative reward."
Git definition,Git & Version Control,Git,Intermediate,"Distributed version control system. Tracks changes, enables collaboration. Every developer has full history. Created by Linus Torvalds."
I want to learn about minification,Performance Optimization,minification,Advanced,"Removing unnecessary characters from code. Used for JavaScript, CSS. Reduces file size. Improves load times."
Help me understand smoke testing,Software Testing,smoke testing,Intermediate,Quick check if major functions work. Build verification test. Shallow and broad. Determines if detailed testing should proceed.
Tell me about inheritance,Object-Oriented Programming,inheritance,Intermediate,Mechanism where class derives properties from parent class. Promotes code reuse. Establishes is-a relationship. Child class extends parent.
Explain BERT,Deep Learning,BERT,Advanced,Bidirectional Encoder Representations from Transformers. Pre-trained on masked language modeling. Fine-tuned for downstream tasks. Revolutionized NLP.
binary tree definition,Data Structures,binary tree,Intermediate,Hierarchical structure where each node has at most two children: left and right. Root is the topmost node.
binary search tree definition,Data Structures,binary search tree,Intermediate,"Binary tree where left child < parent < right child. Supports efficient search, insert, delete (O(log n) average)."
Could you tell me about polymorphism?,Python Basics,polymorphism,Beginner,The ability of different classes to be used interchangeably through a common interface. Often achieved through method overriding.
Help me understand AutoML,Machine Learning,AutoML,Advanced,"Automated Machine Learning automates model selection, hyperparameter tuning, and feature engineering. Tools: Auto-sklearn, TPOT, H2O AutoML."
RNN definition,Deep Learning,RNN,Intermediate,"Recurrent Neural Network processes sequences by maintaining hidden state. Suitable for time series, text, speech. Challenges: vanishing/exploding gradients."
I want to learn about lazy loading,Performance Optimization,lazy loading,Advanced,Loading data only when needed. Reduces initial load time. Improves performance. Opposite of eager loading.
Explain CDN,Cloud Computing,CDN,Intermediate,"Content Delivery Network distributes content globally. Caches content at edge locations. Reduces latency. Examples: CloudFront, Cloudflare."
I want to learn about multi-task learning,Deep Learning,multi-task learning,Advanced,"Training single model on multiple related tasks. Shared representations improve generalization. Tasks share some layers, have task-specific layers."
Explain authentication,Cybersecurity,authentication,Intermediate,"Verifying identity. Methods: passwords, biometrics, two-factor. Should be strong and protected."
Help me understand policy,Reinforcement Learning,policy,Intermediate,Mapping from states to actions. Can be deterministic or stochastic. Learned through RL algorithms. Represents agent's behavior.
Can you explain load balancing?,Performance Optimization,load balancing,Advanced,"Distributing traffic across servers. Improves availability and performance. Algorithms: round-robin, least connections. Hardware or software-based."
What exactly is POS tagging?,Natural Language Processing,POS tagging,Intermediate,"Part-of-Speech tagging assigns grammatical categories (noun, verb, adjective). Used in parsing, information extraction."
greedy algorithm definition,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
I want to learn about TDD,Software Testing,TDD,Intermediate,"Test-Driven Development writes tests before code. Red-Green-Refactor cycle. Test fails, write code, test passes, refactor."
Why is cherry-pick important?,Git & Version Control,cherry-pick,Intermediate,Applying specific commits to current branch. git cherry-pick <hash>. Useful for selective merging. Creates new commit.
Tell me about policy,Reinforcement Learning,policy,Intermediate,Mapping from states to actions. Can be deterministic or stochastic. Learned through RL algorithms. Represents agent's behavior.
Give me information on deque,Data Structures,deque,Beginner,Double-ended queue. Can add/remove from both ends. Supports both stack and queue operations.
Help me understand polymorphism,Object-Oriented Programming,polymorphism,Intermediate,"Same interface, different implementations. Types: compile-time (overloading), runtime (overriding). Enables flexibility and extensibility."
Bellman-Ford definition,Algorithms,Bellman-Ford,Intermediate,"Finds shortest path, handles negative edges. Detects negative cycles. O(VE) time. Slower than Dijkstra but more versatile."
What's the purpose of branch?,Git & Version Control,branch,Intermediate,Independent line of development. Enables parallel work. Default branch usually 'main' or 'master'. Lightweight in Git.
I want to learn about linear search,Algorithms,linear search,Intermediate,Simple search that checks each element sequentially. Works on unsorted arrays. O(n) time. Best for small arrays.
I want to learn about code review,Software Engineering,code review,Intermediate,"Examining code for bugs, style, and best practices. Improves code quality, knowledge sharing. Can be pair programming or pull request reviews."
Explain boosting,Machine Learning,boosting,Intermediate,"Sequential ensemble method where each model corrects errors of previous models. Examples: AdaBoost, Gradient Boosting, XGBoost. Often wins competitions."
I want to learn about cloud computing,Cloud Computing,cloud computing,Intermediate,"Delivering computing services over internet. On-demand resources, pay-per-use. Services: compute, storage, databases, ML. Major providers: AWS, Azure, GCP."
scheduling definition,Operating Systems,scheduling,Intermediate,"Deciding which process runs on CPU. Algorithms: FCFS (First Come First Serve), SJF (Shortest Job First), Round Robin, Priority."
What's the purpose of reinforcement learning?,Reinforcement Learning,reinforcement learning,Intermediate,"Learning by trial and error through environment interaction. Agent takes actions, receives rewards. Goal: maximize cumulative reward."
Explain bayes theorem,Mathematics for AI,bayes theorem,Beginner,P(A|B) = P(B|A)P(A) / P(B). Updates probabilities with new evidence. Foundation of Bayesian inference and naive Bayes.
What does Kruskal's algorithm mean?,Algorithms,Kruskal's algorithm,Intermediate,Finds minimum spanning tree by sorting edges by weight and adding if no cycle. Uses Union-Find. O(E log E) time.
process definition,Operating Systems,process,Intermediate,"Program in execution. Has process ID, memory space, open files. States: new, ready, running, waiting, terminated."
Tell me about operating system,Operating Systems,operating system,Intermediate,"Software managing hardware and providing services to applications. Functions: process management, memory management, file system, I/O management."
How can I use Lambda?,Cloud Computing,Lambda,Intermediate,AWS serverless compute. Run code without managing servers. Pay per request. Auto-scales. Good for event-driven applications.
I want to learn about tokenization,Natural Language Processing,tokenization,Intermediate,"Breaking text into tokens (words, subwords, characters). First step in NLP pipeline. Methods: whitespace split, BERT tokenizer, BPE."
Why should I learn fairness in ML?,Machine Learning,fairness in ML,Advanced,"Ensuring models don't discriminate based on protected attributes. Metrics: demographic parity, equalized odds. Techniques: re-weighting, adversarial debiasing."
Define forward propagation,Deep Learning,forward propagation,Beginner,Passing input through network layers to generate output. Each layer transforms input using weights and activation. Final layer produces prediction.
What exactly is hierarchical clustering?,Machine Learning,hierarchical clustering,Intermediate,Builds tree of clusters. Agglomerative (bottom-up) or divisive (top-down). Doesn't require k specification. Results in dendrogram.
I want to learn about DevOps,DevOps,DevOps,Intermediate,"Culture combining development and operations. Automates deployment, monitoring. Principles: collaboration, automation, continuous improvement. Speeds delivery."
I want to learn about linked list,Data Structures,linked list,Beginner,"A linear data structure where elements are nodes connected by pointers. Each node contains data and reference to next node. Dynamic size, efficient insertion/deletion."
What does firewall mean?,Cybersecurity,firewall,Intermediate,"Network security system filtering traffic. Rules based on IP, port, protocol. Can be hardware or software. First line of defense."
Why do we use HTTP?,Web Development,HTTP,Intermediate,"HyperText Transfer Protocol for web communication. Methods: GET (retrieve), POST (create), PUT (update), DELETE (remove). Stateless protocol."
Tell me about linear search,Algorithms,linear search,Intermediate,Simple search that checks each element sequentially. Works on unsorted arrays. O(n) time. Best for small arrays.
Explain asyncio,Python Programming,asyncio,Advanced,Python's framework for asynchronous programming using async/await syntax. Enables concurrent execution of I/O-bound tasks.
Provide details on polymorphism,Python Basics,polymorphism,Beginner,The ability of different classes to be used interchangeably through a common interface. Often achieved through method overriding.
Could you tell me about conditional probability?,Mathematics for AI,conditional probability,Beginner,Probability of event given another event occurred. P(A|B) = P(A∩B) / P(B). Used in Bayesian methods.
Tell me about operating system,Operating Systems,operating system,Intermediate,"Software managing hardware and providing services to applications. Functions: process management, memory management, file system, I/O management."
Define feature engineering,Machine Learning,feature engineering,Intermediate,"Creating new features from existing data to improve model performance. Techniques: polynomial features, binning, log transforms, domain-specific features."
version control definition,Software Engineering,version control,Intermediate,"Tracking changes to code over time. Enables collaboration, rollback. Systems: Git (distributed), SVN (centralized)."
How do you implement few-shot learning?,Deep Learning,few-shot learning,Advanced,Learning from very few examples per class. Meta-learning approach. Model learns to quickly adapt to new tasks. Useful when labeled data is scarce.
Tell me about IAM,Cloud Computing,IAM,Intermediate,"Identity and Access Management controls who can access resources. Users, groups, roles, policies. Principle of least privilege."
I want to learn about file system,Operating Systems,file system,Intermediate,"Organizes and stores files. Hierarchical structure. Operations: create, read, write, delete. Examples: NTFS, ext4, FAT32."
Can you explain what ResNet is?,Computer Vision,ResNet,Intermediate,"Residual Network uses skip connections. Enables training very deep networks. Won ImageNet 2015. Variants: ResNet-50, ResNet-101."
Help me understand decorator,Python Programming,decorator,Intermediate,"A function that modifies the behavior of another function. Uses @decorator_name syntax. Common uses: logging, timing, authentication."
Explain software testing,Software Testing,software testing,Intermediate,"Evaluating software to find defects. Ensures quality, correctness. Types: unit, integration, system, acceptance. Can be manual or automated."
I want to learn about SDLC,Software Engineering,SDLC,Intermediate,"Software Development Life Cycle is process for building software. Phases: planning, analysis, design, implementation, testing, deployment, maintenance. Models: Waterfall, Agile, Spiral."
Can you explain what random forest is?,Machine Learning,random forest,Intermediate,Ensemble of decision trees. Each tree trains on random subset of data and features. Predictions are averaged (regression) or voted (classification). Reduces overfitting.
Help me understand lemmatization,Natural Language Processing,lemmatization,Intermediate,Reducing words to dictionary form using vocabulary and morphological analysis. More accurate than stemming. Example: better → good.
Help me understand few-shot learning,Deep Learning,few-shot learning,Advanced,Learning from very few examples per class. Meta-learning approach. Model learns to quickly adapt to new tasks. Useful when labeled data is scarce.
What should I know about endpoint?,API Design,endpoint,Intermediate,URL where API can be accessed. Represents resource or action. Example: /users/123 for user with ID 123.
dictionary definition,Python Basics,dictionary,Beginner,A dictionary stores key-value pairs. Created with curly braces {}. Keys must be unique and immutable. Provides O(1) average-case lookup time.
Help me understand model deployment,Machine Learning,model deployment,Advanced,"Putting trained model into production. Considerations: serving infrastructure, monitoring, versioning, A/B testing, retraining strategy."
Why do we use chain rule?,Mathematics for AI,chain rule,Beginner,Computes derivative of composite functions. Fundamental to backpropagation. (f∘g)' = f'(g) · g'
status codes definition,API Design,status codes,Intermediate,"HTTP response codes. 2xx (success), 3xx (redirect), 4xx (client error), 5xx (server error). 200 OK, 404 Not Found, 500 Internal Server Error."
Tell me about convolution,Deep Learning,convolution,Intermediate,"Operation that applies filters to input to extract features. Filter slides across input, computing dot product. Learns features like edges, textures, patterns."
REST API definition,Web Development,REST API,Intermediate,Representational State Transfer API uses HTTP methods. Stateless communication. Resources identified by URLs. Returns JSON/XML. Standard for web services.
Tell me about acceptance testing,Software Testing,acceptance testing,Intermediate,Validation against business requirements. Done by users or QA. Determines if software is acceptable for delivery.
Explain BDD,Software Testing,BDD,Intermediate,"Behavior-Driven Development focuses on business behavior. Uses Given-When-Then format. Frameworks: Cucumber, SpecFlow."
Explain file handling,Python Basics,file handling,Beginner,"Reading and writing files using open(). Use 'with' statement for automatic file closing. Modes: 'r' (read), 'w' (write), 'a' (append)."
Explain label,Machine Learning,label,Beginner,"The output or target variable in supervised learning. What we want to predict. Examples: spam/not spam, house price."
Explain string formatting,Python Basics,string formatting,Beginner,"Format strings using f-strings: f'Hello {name}', format(): 'Hello {}'.format(name), or % operator: 'Hello %s' % name."
Help me understand method overloading,Object-Oriented Programming,method overloading,Intermediate,Multiple methods with same name but different parameters. Compile-time polymorphism. Based on number/type of arguments.
Give me information on method overloading,Object-Oriented Programming,method overloading,Intermediate,Multiple methods with same name but different parameters. Compile-time polymorphism. Based on number/type of arguments.
fairness in ML definition,Machine Learning,fairness in ML,Advanced,"Ensuring models don't discriminate based on protected attributes. Metrics: demographic parity, equalized odds. Techniques: re-weighting, adversarial debiasing."
Explain JavaScript,Web Development,JavaScript,Intermediate,"Programming language that adds interactivity to web pages. Runs in browser. Manipulates DOM, handles events, makes API calls. Core of modern web."
Explain object,Object-Oriented Programming,object,Intermediate,Instance of a class. Has state (attribute values) and behavior (methods). Multiple objects from one class.
Could you tell me about feature selection?,Machine Learning,feature selection,Intermediate,"Choosing relevant features and removing irrelevant ones. Methods: filter (statistical tests), wrapper (model performance), embedded (L1 regularization)."
What is reinforcement learning?,Machine Learning,reinforcement learning,Beginner,"Learning by interacting with environment. Agent takes actions and receives rewards. Goal: maximize cumulative reward. Used in games, robotics."
Can you explain what load balancing is?,Performance Optimization,load balancing,Advanced,"Distributing traffic across servers. Improves availability and performance. Algorithms: round-robin, least connections. Hardware or software-based."
Could you tell me about API?,API Design,API,Intermediate,Application Programming Interface. Defines interactions between software. Contract for communication. Abstracts implementation details.
I want to learn about dictionary methods,Python Basics,dictionary methods,Beginner,"Dictionaries have methods: keys(), values(), items(), get(), update(), pop(), clear(). items() returns key-value pairs."
I want to learn about linked list,Data Structures,linked list,Beginner,"A linear data structure where elements are nodes connected by pointers. Each node contains data and reference to next node. Dynamic size, efficient insertion/deletion."
Help me understand MongoDB,Web Development,MongoDB,Intermediate,NoSQL document database. Stores JSON-like documents. Flexible schema. Scales horizontally. Popular with Node.js (MEAN/MERN stack).
selection sort definition,Algorithms,selection sort,Intermediate,"Finds minimum element and swaps with first position, then repeats for remaining elements. O(n²) time. Good for small arrays."
What should I know about encryption?,Cybersecurity,encryption,Intermediate,"Converting plaintext to ciphertext. Protects confidentiality. Symmetric (same key) and asymmetric (public/private keys). AES, RSA common."
Explain JOIN,Database Systems,JOIN,Intermediate,"Combines rows from multiple tables based on related columns. Types: INNER (matching rows), LEFT/RIGHT (all from one table), FULL (all rows)."
Can you explain what SDLC is?,Software Engineering,SDLC,Intermediate,"Software Development Life Cycle is process for building software. Phases: planning, analysis, design, implementation, testing, deployment, maintenance. Models: Waterfall, Agile, Spiral."
Help me understand Scrum,Software Engineering,Scrum,Intermediate,"Agile framework with defined roles and ceremonies. Roles: Product Owner, Scrum Master, Dev Team. Ceremonies: Sprint Planning, Daily Standup, Sprint Review, Retrospective."
Explain edge detection,Computer Vision,edge detection,Intermediate,"Identifying boundaries in images. Classical: Sobel, Canny. Used as preprocessing step. Highlights important features."
Help me understand software testing,Software Testing,software testing,Intermediate,"Evaluating software to find defects. Ensures quality, correctness. Types: unit, integration, system, acceptance. Can be manual or automated."
chain rule definition,Mathematics for AI,chain rule,Beginner,Computes derivative of composite functions. Fundamental to backpropagation. (f∘g)' = f'(g) · g'
Help me understand generator,Python Programming,generator,Intermediate,A function that uses 'yield' instead of 'return' to produce a sequence of values lazily. Saves memory for large datasets.
Tell me about code smell,Software Engineering,code smell,Intermediate,"Symptom indicating potential problem in code. Examples: long methods, duplicate code, large classes. Suggest refactoring needed."
How would you explain KNN?,Machine Learning,KNN,Intermediate,K-Nearest Neighbors classifies based on majority vote of k nearest training examples. No training phase. Simple but slow for large datasets.
Please tell me about adjacency matrix,Data Structures,adjacency matrix,Intermediate,2D array representing graph. Cell [i][j] = 1 if edge exists. Space: O(V²). Good for dense graphs.
Help me understand design patterns,Software Engineering,design patterns,Intermediate,"Reusable solutions to common problems. Creational: Singleton, Factory. Structural: Adapter, Decorator. Behavioral: Observer, Strategy. Gang of Four book."
Explain method overriding,Object-Oriented Programming,method overriding,Intermediate,Child class provides specific implementation of parent method. Runtime polymorphism. Same signature as parent method.
What do you mean by actor-critic?,Reinforcement Learning,actor-critic,Intermediate,"Combines value function (critic) and policy (actor). Actor selects actions, critic evaluates. Reduces variance. A3C, PPO are variants."
Help me understand forward propagation,Deep Learning,forward propagation,Beginner,Passing input through network layers to generate output. Each layer transforms input using weights and activation. Final layer produces prediction.
How does machine learning work?,Machine Learning,machine learning,Beginner,"A subset of AI where systems learn from data without explicit programming. Algorithms improve performance through experience. Three main types: supervised, unsupervised, reinforcement."
Why should I learn SVM?,Machine Learning,SVM,Intermediate,Support Vector Machine finds hyperplane that maximally separates classes. Kernel trick enables non-linear boundaries. Effective in high dimensions.
I want to learn about meta-learning,Machine Learning,meta-learning,Advanced,Learning to learn. Model learns across multiple tasks to quickly adapt to new tasks with few examples. Also called few-shot learning.
Could you explain React to me?,Web Development,React,Intermediate,JavaScript library for building user interfaces. Component-based architecture. Virtual DOM for efficient updates. Created by Facebook. Very popular.
Explain how eigenvalue works,Mathematics for AI,eigenvalue,Beginner,"Scalar λ where Av = λv for matrix A and vector v. Used in PCA, graph analysis. Characterizes matrix transformations."
Help me understand static method,Object-Oriented Programming,static method,Intermediate,"Belongs to class, not instances. Called on class, not object. Cannot access instance variables. Uses class name."
Can you explain what binary tree is?,Data Structures,binary tree,Intermediate,Hierarchical structure where each node has at most two children: left and right. Root is the topmost node.
Define feature scaling,Machine Learning,feature scaling,Advanced,"Normalizing features to similar ranges. Methods: standardization (mean=0, std=1), normalization (min-max to [0,1]). Important for distance-based algorithms."
Help me understand random forest,Machine Learning,random forest,Intermediate,Ensemble of decision trees. Each tree trains on random subset of data and features. Predictions are averaged (regression) or voted (classification). Reduces overfitting.
Tell me about greedy algorithm,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
What do you mean by XGBoost?,Machine Learning,XGBoost,Advanced,Extreme Gradient Boosting is an optimized gradient boosting library. Regularization prevents overfitting. Handles missing values. Parallel processing. Wins many ML competitions.
Tell me about minification,Performance Optimization,minification,Advanced,"Removing unnecessary characters from code. Used for JavaScript, CSS. Reduces file size. Improves load times."
How does Node.js work?,Web Development,Node.js,Intermediate,"JavaScript runtime for server-side development. Asynchronous, event-driven. Uses V8 engine. NPM package manager. Enables full-stack JS."
How do you implement exception handling?,Python Basics,exception handling,Beginner,Using try-except blocks to catch and handle errors gracefully. Prevents program crashes and allows for error recovery.
How does configuration management work?,DevOps,configuration management,Intermediate,"Automating server configuration. Ensures consistency. Tools: Ansible, Puppet, Chef. Uses playbooks or recipes."
What exactly is cross-validation?,Machine Learning,cross-validation,Beginner,"Splitting data into k folds, training on k-1 and testing on remaining fold, repeated k times. More reliable than single split."
Help me understand authorization,Cybersecurity,authorization,Intermediate,Determining what authenticated user can access. Role-based access control (RBAC). Principle of least privilege.
How does pull request work?,Git & Version Control,pull request,Intermediate,Proposal to merge code. Used in collaborative workflows. Enables code review before merging. GitHub/GitLab feature.
I want to learn about context manager,Python Programming,context manager,Intermediate,Objects that define __enter__ and __exit__ methods for resource management. Used with 'with' statement.
inheritance definition,Object-Oriented Programming,inheritance,Intermediate,Mechanism where class derives properties from parent class. Promotes code reuse. Establishes is-a relationship. Child class extends parent.
I want to learn about comparison operators,Python Basics,comparison operators,Beginner,"Compare values: == (equal), != (not equal), < (less than), > (greater than), <= (less or equal), >= (greater or equal)."
GIL definition,Python Programming,GIL,Advanced,The Global Interpreter Lock is a mutex that protects Python objects. Prevents multiple threads from executing Python bytecode simultaneously. Impacts multi-threaded CPU-bound programs.
Help me understand decision tree,Machine Learning,decision tree,Intermediate,"Tree structure where internal nodes test features, branches are outcomes, leaves are predictions. Easy to interpret. Prone to overfitting."
Explain stop words,Natural Language Processing,stop words,Intermediate,"Common words with little meaning (the, is, a). Often removed in preprocessing. Depends on task - keep for sentiment analysis."
Help me understand multiple inheritance,Python Programming,multiple inheritance,Intermediate,A class can inherit from multiple parent classes. Python uses Method Resolution Order (MRO) to determine method lookup.
I want to learn about S3,Cloud Computing,S3,Intermediate,"Simple Storage Service is object storage. Highly durable (99.999999999%). Unlimited storage. Used for backups, static websites, data lakes."
How can I use enumerate?,Python Basics,enumerate,Beginner,"Returns index and value when iterating. for i, item in enumerate(my_list). Start index can be specified: enumerate(my_list, start=1)."
I want to learn about cross-validation,Machine Learning,cross-validation,Beginner,"Splitting data into k folds, training on k-1 and testing on remaining fold, repeated k times. More reliable than single split."
Show me how to use query optimization,Performance Optimization,query optimization,Advanced,Improving database query performance. Analyze execution plans. Avoid N+1 queries. Use JOINs efficiently. Limit results.
Can you explain tokenization?,Natural Language Processing,tokenization,Intermediate,"Breaking text into tokens (words, subwords, characters). First step in NLP pipeline. Methods: whitespace split, BERT tokenizer, BPE."
stop words definition,Natural Language Processing,stop words,Intermediate,"Common words with little meaning (the, is, a). Often removed in preprocessing. Depends on task - keep for sentiment analysis."
I want to learn about commit,Git & Version Control,commit,Intermediate,Snapshot of changes. Has message describing changes. Identified by SHA hash. Forms project history.
Tell me about comparison operators,Python Basics,comparison operators,Beginner,"Compare values: == (equal), != (not equal), < (less than), > (greater than), <= (less or equal), >= (greater or equal)."
Please tell me about linear search,Algorithms,linear search,Intermediate,Simple search that checks each element sequentially. Works on unsorted arrays. O(n) time. Best for small arrays.
Explain how authentication works,Cybersecurity,authentication,Intermediate,"Verifying identity. Methods: passwords, biometrics, two-factor. Should be strong and protected."
Why is semantic segmentation important?,Computer Vision,semantic segmentation,Intermediate,"Classifying each pixel in image. Assigns class to every pixel. Used in autonomous driving, medical imaging. Models: U-Net, FCN."
Tell me about quick sort,Algorithms,quick sort,Intermediate,"Divide-and-conquer sorting using pivot. Partitions array around pivot. O(n log n) average, O(n²) worst. Usually fastest in practice."
Help me understand MongoDB,Web Development,MongoDB,Intermediate,NoSQL document database. Stores JSON-like documents. Flexible schema. Scales horizontally. Popular with Node.js (MEAN/MERN stack).
Define S3,Cloud Computing,S3,Intermediate,"Simple Storage Service is object storage. Highly durable (99.999999999%). Unlimited storage. Used for backups, static websites, data lakes."
I want to learn about time series forecasting,Machine Learning,time series forecasting,Advanced,"Predicting future values based on temporal data. Methods: ARIMA, exponential smoothing, LSTM networks. Considers trends, seasonality, autocorrelation."
